Participant,Session,Block,Task,Order,Trial,OnsetDelay,Ndots,Color,ColorIsTarget,ColorResponse,ColorRT,NumerosityResponse,NumerosityRT
DHD2000WRNO,2023-12-15-10-36-04,1,single,color,1,0.7741319065088956,86,1s,True,distractor,3.171150163970424,,
DHD2000WRNO,2023-12-15-10-36-04,1,single,color,2,0.5995786636364984,71,1p,False,distractor,6.0717866743381705,,
DHD2000WRNO,2023-12-15-10-36-04,1,single,color,3,0.7675870110441302,3,s2,False,target,2.502162660708734,,
DHD2000WRNO,2023-12-15-10-36-04,1,single,color,4,0.8204052275619902,25,2s,True,distractor,1.7849930718239193,,
DHD2000WRNO,2023-12-15-10-36-04,1,single,color,5,0.8287145241759826,42,2p,False,distractor,1.6512930065537716,,
DHD2000WRNO,2023-12-15-10-36-04,1,single,color,6,0.7371549502823169,67,p1,True,target,1.237063609836298,,
DHD2000WRNO,2023-12-15-10-36-04,1,single,color,7,0.7615523467961991,2,p2,True,target,1.3013322915168146,,
DHD2000WRNO,2023-12-15-10-36-04,1,single,color,8,0.968188674567056,6,s1,False,distractor,2.5855725521348063,,
DHD2000WRNO,2023-12-15-10-36-04,1,single,color,9,0.5867688152386792,18,p1,True,target,0.919762179603481,,
DHD2000WRNO,2023-12-15-10-36-04,2,single,random,1,0.9635952201154043,18,1p,False,target,0.919762179603481,0.14450253031605076,1.3849384270546352
DHD2000WRNO,2023-12-15-10-36-04,2,single,random,2,0.6173909201896646,86,p2,True,target,0.919762179603481,0.13986560679843402,12.694234326311687
DHD2000WRNO,2023-12-15-10-36-04,2,single,random,3,0.8838026371149617,42,s1,False,target,0.919762179603481,0.25269741239377447,13.278161391446702
DHD2000WRNO,2023-12-15-10-36-04,2,single,random,4,0.9327747062741862,67,1s,True,target,0.919762179603481,0.3067948534326363,7.690822280898715
DHD2000WRNO,2023-12-15-10-36-04,2,single,random,5,0.734631469423581,25,s2,False,target,0.919762179603481,0.3067948534326363,2.719596799666874
DHD2000WRNO,2023-12-15-10-36-04,2,single,random,6,0.7130371489709328,6,2p,False,target,0.919762179603481,0.3067948534326363,3.0696576244994276
DHD2000WRNO,2023-12-15-10-36-04,2,single,random,7,0.5896069587640502,3,2s,True,target,0.919762179603481,0.3067948534326363,2.269190180421674
DHD2000WRNO,2023-12-15-10-36-04,2,single,random,8,0.608592448984995,71,p1,True,target,0.919762179603481,0.3067948534326363,2.1523714456504877
DHD2000WRNO,2023-12-15-10-36-04,2,single,random,9,0.9459433074903791,2,1s,True,target,0.919762179603481,0.3067948534326363,1.5518113367656952
DHD2000WRNO,2023-12-15-10-36-04,3,single,ascending,1,0.9748721267044482,2,2s,True,target,0.919762179603481,0.0038491836150099878,1.6017726300541426
