Participant,Session,Block,Task,Order,Trial,OnsetDelay,Ndots,Color,ColorIsTarget,ColorResponse,ColorRT,NumerosityResponse,NumerosityRT
MGM1999WRNO,2023-12-20-16-05-48,1,single,color,1,0.7741319065088956,86,1s,True,distractor,7.8229677734780125,,
MGM1999WRNO,2023-12-20-16-05-48,1,single,color,2,0.5995786636364984,71,1p,False,target,3.719754824152915,,
MGM1999WRNO,2023-12-20-16-05-48,1,single,color,3,0.7675870110441302,3,s2,False,distractor,8.823784134787275,,
MGM1999WRNO,2023-12-20-16-05-48,1,single,color,4,0.8204052275619902,25,2s,True,distractor,19.652109104412375,,
MGM1999WRNO,2023-12-20-16-05-48,1,single,color,5,0.8287145241759826,42,2p,False,target,1.3011592641705647,,
MGM1999WRNO,2023-12-20-16-05-48,1,single,color,6,0.7371549502823169,67,p1,True,target,7.305891360825626,,
MGM1999WRNO,2023-12-20-16-05-48,1,single,color,7,0.7615523467961991,2,p2,True,target,2.2352100209973287,,
MGM1999WRNO,2023-12-20-16-05-48,1,single,color,8,0.968188674567056,6,s1,False,distractor,2.8023584600305185,,
MGM1999WRNO,2023-12-20-16-05-48,1,single,color,9,0.5867688152386792,18,p1,True,target,0.9341471652151085,,
MGM1999WRNO,2023-12-20-16-05-48,2,single,random,1,0.9635952201154043,18,1p,False,target,0.9341471652151085,0.180897136855315,1.7351468890556134
MGM1999WRNO,2023-12-20-16-05-48,2,single,random,2,0.6173909201896646,86,p2,True,target,0.9341471652151085,0.3963320647651785,2.001930033642566
MGM1999WRNO,2023-12-20-16-05-48,2,single,random,3,0.8838026371149617,42,s1,False,target,0.9341471652151085,0.6360641649957033,1.1512862122326624
MGM1999WRNO,2023-12-20-16-05-48,2,single,random,4,0.9327747062741862,67,1s,True,target,0.9341471652151085,0.742971723206613,1.0678469333506655
MGM1999WRNO,2023-12-20-16-05-48,2,single,random,5,0.734631469423581,25,s2,False,target,0.9341471652151085,0.5907094433304688,1.3847549734055065
MGM1999WRNO,2023-12-20-16-05-48,2,single,random,6,0.7130371489709328,6,2p,False,target,0.9341471652151085,0.0448329718596117,1.601499679061817
MGM1999WRNO,2023-12-20-16-05-48,2,single,random,7,0.5896069587640502,3,2s,True,target,0.9341471652151085,0.02215561102699448,1.1678976877010427
MGM1999WRNO,2023-12-20-16-05-48,2,single,random,8,0.608592448984995,71,p1,True,target,0.9341471652151085,0.8482594699294786,1.0011712063860614
MGM1999WRNO,2023-12-20-16-05-48,2,single,random,9,0.9459433074903791,2,1s,True,target,0.9341471652151085,0.004337684658509655,1.6683305924525484
MGM1999WRNO,2023-12-20-16-05-48,3,single,ascending,1,0.9748721267044482,2,2s,True,target,0.9341471652151085,0.023775422515038613,9.657870593830012
MGM1999WRNO,2023-12-20-16-05-48,3,single,ascending,2,0.5057653309612259,3,s1,False,target,0.9341471652151085,0.015676365074818222,7.773149829823524
MGM1999WRNO,2023-12-20-16-05-48,3,single,ascending,3,0.9493421188139344,6,p2,True,target,0.9341471652151085,0.02215561102699448,3.2195859539788216
MGM1999WRNO,2023-12-20-16-05-48,3,single,ascending,4,0.5406463508428354,18,2p,False,target,0.9341471652151085,0.3525971545879881,2.3522706351359375
MGM1999WRNO,2023-12-20-16-05-48,3,single,ascending,5,0.8156556432618927,25,1p,False,target,0.9341471652151085,0.556693402081543,2.5856327250949107
